SrNo,Date,NO,CO,NO2,O3,SO2,PM2.5,Benzene,Toulene,P_Xylene,NOx,PM10,WindDirection,NH3,RH,Temp,WindSpeed,VerticalWindSpeed,Solar,BarPressure,Weather,PD_PM2.5,PD_PM10,PD_NO2,PD_SO2,PD_CO
1,04-04-2015,7.22,1.77,47.94,51.07,16.88,48.99,2.53,9.65,3,52.97,82.85,141.61,26.54,61.34,20.24,1.22,0.08,162.18,732.25,Summer,NA,NA,NA,NA,NA
2,05-04-2015,6.99,0.22,45.27,19.26,16.71,60.2,3.19,11.1,2.67,51.31,113.53,166.34,30.99,75.54,16.93,0.62,-0.04,99.37,734.05,Summer,48.99,82.85,47.94,16.88,1.77
3,09-04-2015,7.6,0.5,59.86,94.29,13.11,46.93,2.29,8.61,3.43,65.53,171.36,220.18,17.4,33.75,26.59,1.55,-0.17,146.94,728.08,Summer,NA,NA,NA,NA,NA
4,10-04-2015,7.57,0.77,63.56,66.91,16.19,112.95,3.92,10.76,4.66,68.83,232.22,233,25.85,42.96,25.21,1.18,-0.15,150.07,730.47,Summer,46.93,171.36,59.86,13.11,0.5
5,11-04-2015,8.34,0.48,61.99,69.48,20.28,104.87,5.19,15.95,7.66,67.4,235.05,221.01,29.51,40.74,26.52,0.88,0.15,137.01,730.62,Summer,112.95,232.22,63.56,16.19,0.77
6,12-04-2015,6.89,0.41,50.71,33.28,18.84,48.74,2.12,7.57,2.47,56.19,111.06,162.73,34.26,57.97,20.72,1.56,-0.16,59.33,732.96,Summer,104.87,235.05,61.99,20.28,0.48
7,13-04-2015,6.89,0.37,50.47,45.15,16.26,62.7,2.29,7.62,2.8,55.71,119.54,173.54,36.11,61.1,21.98,1.35,-0.13,133.14,732.73,Summer,48.74,111.06,50.71,18.84,0.41
8,14-04-2015,7.21,1.25,48.96,52.98,17.38,66.6,2.36,7.45,2.57,54.88,132.65,163.34,29.83,54.35,23.91,1.3,0.35,144.71,732.15,Summer,62.7,119.54,50.47,16.26,0.37
9,15-04-2015,7.16,1.81,67.51,27.02,13.4,68.11,3.03,10.89,4.32,71.63,151.87,222.41,29.65,60.16,22.91,0.37,1.39,4.46,730.5,Summer,66.6,132.65,48.96,17.38,1.25
10,16-04-2015,6.64,1.58,47.51,24.05,17.12,63.76,2.91,10.08,2.75,53.07,110.12,173.37,24.56,53.83,23.58,1.45,0.34,114.03,731.25,Summer,68.11,151.87,67.51,13.4,1.81
11,17-04-2015,7.39,1.59,51.28,54.96,21.14,68.72,2.86,10.14,3.41,57.37,183.81,222.58,26.72,46.75,25.67,1.29,-0.27,147.54,731.55,Summer,63.76,110.12,47.51,17.12,1.58
12,18-04-2015,7.18,1.66,62.32,59.17,24.89,183.15,4.66,11.3,4.44,66.96,291.06,219.64,25.21,38.16,28.65,0.98,0.32,144.33,731.31,Summer,68.72,183.81,51.28,21.14,1.59
13,19-04-2015,7.94,1.94,64.65,73.74,19.55,125.04,6.14,18.55,9.19,69.26,311.33,221.19,28.49,38.65,30.25,0.66,0.47,142.35,731.61,Summer,183.15,291.06,62.32,24.89,1.66
