Country,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
United States,7171,6847,6662,6560,6465,6451,6252,5881,5822,5801,5744,5649,5441,5184,5086,5074,5000,5349,5478,5654,6502,7467,8759,9431,8831,9352,10962
Saudi Arabia,8332,8198,8120,8231,8218,8362,8389,7833,8404,8031,7634,8775,9101,9550,9152,8722,9261,8250,8900,9458,9832,9693,9735,10168,10461,10134,10425
Russia,7632,6730,6135,5995,5850,5920,5854,6079,6479,6917,7408,8132,8805,9043,9247,9437,9357,9495,9694,9774,9922,10054,10107,10253,10551,10580,10759
Canada,1605,1679,1746,1805,1837,1922,1981,1907,1977,2029,2171,2306,2398,2369,2525,2628,2579,2579,2741,2901,3138,3325,3613,3677,3679,3977,4264
Iraq,425,512,553,560,579,1155,2150,2508,2571,2390,2023,1308,2011,1878,1996,2086,2375,2391,2399,2626,2983,3054,3368,4045,4444,4454,4613
Iran,3429,3540,3618,3643,3686,3664,3634,3557,3696,3724,3444,3743,4001,4139,4028,3912,4050,4037,4080,4054,3387,3113,3239,3293,4151,4469,4254
China,2845,2890,2939,2990,3131,3200,3198,3195,3249,3300,3390,3409,3485,3609,3673,3736,3790,3796,4078,4052,4074,4164,4208,4278,3983,3821,3773
UAE,2266,2159,2193,2233,2278,2316,2345,2169,2368,2205,2082,2348,2478,2535,2636,2603,2821,2560,2570,2849,2994,2938,3010,3149,3243,3174,3216
Brazil,626,643,671,695,795,841,969,1132,1269,1295,1455,1496,1477,1634,1723,1748,1812,1950,2055,2105,2061,2024,2255,2437,2515,2622,2587
Kuwait,1058,1852,2025,2057,2062,2007,2085,1898,2079,1998,1894,2136,2376,2529,2535,2464,2586,2350,2300,2530,2635,2650,2642,2784,2905,2753,2807
Mexico,2669,2673,2782,2712,2944,3104,3159,2998,3104,3218,3263,3459,3476,3423,3345,3143,2839,2646,2621,2600,2593,2562,2469,2302,2187,1981,1852
Nigeria,1943,1960,1931,1993,2001,2133,2153,2130,2165,2256,2118,2275,2329,2627,2440,2350,2165,2208,2408,2474,2457,2307,2347,2171,1871,1946,1989
Kazakhstan,444,408,415,414,457,521,526,604,718,815,939,1027,1203,1288,1313,1360,1345,1455,1525,1553,1514,1573,1632,1653,1595,1777,1856
Qatar,423,413,415,442,510,550,696,665,742,730,709,807,901,978,996,1083,1173,1275,1451,1550,1522,1540,1537,1498,1496,1500,1464
Norway,2132,2282,2570,2766,3091,3142,3011,3019,3222,3226,3131,3042,2954,2698,2491,2270,2182,2067,1871,1760,1612,1533,1562,1610,1648,1618,1517
Angola,526,509,536,646,709,714,735,745,746,742,896,903,1052,1239,1398,1724,1951,1877,1909,1756,1787,1803,1742,1802,1770,1666,1593
Algeria,1202,1167,1155,1162,1227,1259,1226,1177,1214,1265,1349,1516,1582,1692,1699,1708,1705,1585,1540,1540,1532,1462,1420,1429,1348,1306,1259
Venezuela,2371,2450,2588,2750,2938,3280,3167,2826,3155,3010,2604,2335,2557,2565,2511,2490,2510,2520,2410,2500,2500,2500,2500,2500,2277,2007,1484
U.K.,1986,2084,2593,2756,2827,2751,2856,2922,2508,2541,2503,2335,2018,1806,1637,1636,1535,1452,1354,1111,954,879,871,970,1032,1019,1110
Libya,1433,1361,1378,1390,1401,1446,1390,1319,1410,1367,1319,1421,1515,1651,1736,1787,1803,1696,1710,485,1432,978,530,484,466,897,1039
Oman,746,781,816,861,893,910,906,916,974,917,902,825,756,782,746,716,763,818,869,891,923,945,950,989,1014,978,987
Colombia,439,461,455,590,633,656,737,821,694,627,579,545,533,531,540,538,596,684,799,932,963,1022,1008,1023,905,873,883
Indonesia,1579,1589,1590,1579,1627,1605,1605,1559,1518,1422,1329,1233,1169,1091,1025,976,1016,1000,1016,983,955,922,887,847,930,895,872
India,589,564,635,750,731,760,751,743,739,745,783,785,807,784,811,808,809,794,869,904,899,896,888,883,872,873,868
Azerbaijan,222,208,192,182,182,180,237,283,286,307,314,324,315,439,646,847,874,1010,1039,987,926,874,851,852,838,795,802
Malaysia,666,660,674,714,727,762,820,788,756,732,773,818,792,794,753,758,759,720,719,655,661,632,657,712,749,734,736
Egypt,895,908,914,939,943,879,858,882,803,758,751,750,708,690,666,664,694,704,698,704,709,709,708,719,684,659,669
Argentina,583,629,694,757,800,882,897,850,809,850,840,840,797,774,778,767,789,786,774,747,706,691,701,694,694,662,664
Ecuador,324,348,368,395,400,391,379,377,398,415,395,413,530,534,538,513,506,487,487,501,505,528,558,545,551,534,520
Thailand,65,67,78,88,96,122,135,145,170,174,192,241,238,286,327,346,372,390,402,427,467,474,474,494,505,489,471
Australia,591,558,592,614,632,659,614,611,793,732,707,594,522,546,528,532,536,546,555,480,473,399,419,378,351,319,347
Congo (Brazzaville),174,181,180,188,201,265,277,283,292,267,260,256,243,236,248,214,240,275,346,296,271,248,241,245,205,252,347
Turkmenistan,110,90,85,81,88,106,127,155,157,167,192,199,213,196,176,180,189,197,201,222,243,259,271,275,263,277,276
Vietnam,106,120,141,173,175,191,246,290,316,357,340,353,403,372,367,324,312,341,308,312,341,343,315,339,308,278,248
