gender,age,job,marital,education,default,housing,loan,contact,term_deposit
female,56,housemaid,married,basic.4y,no,no,no,telephone,no
male,57,services,married,high.school,yes,no,no,telephone,no
female,37,services,married,high.school,no,yes,no,telephone,no
female,40,admin.,married,basic.6y,no,no,no,telephone,no
female,56,services,married,high.school,no,no,yes,telephone,no
male,45,services,married,basic.9y,yes,no,no,telephone,no
male,59,admin.,married,professional.course,no,no,no,telephone,no
male,41,blue-collar,married,unknown,yes,no,no,telephone,no
male,24,technician,single,professional.course,no,yes,no,telephone,no
female,25,services,single,high.school,no,yes,no,telephone,no
male,41,blue-collar,married,unknown,yes,no,no,telephone,no
female,25,services,single,high.school,no,yes,no,telephone,no
male,29,blue-collar,single,high.school,no,no,yes,telephone,no
male,57,housemaid,divorced,basic.4y,no,yes,no,telephone,no
female,35,blue-collar,married,basic.6y,no,yes,no,telephone,no
male,54,retired,married,basic.9y,yes,yes,yes,telephone,no
female,35,blue-collar,married,basic.6y,no,yes,no,telephone,no
female,46,blue-collar,married,basic.6y,yes,yes,yes,telephone,no
female,50,blue-collar,married,basic.9y,no,yes,yes,telephone,no
male,39,management,single,basic.9y,yes,no,no,telephone,no
male,30,unemployed,married,high.school,no,no,no,telephone,no
female,55,blue-collar,married,basic.4y,yes,yes,no,telephone,no
male,55,retired,single,high.school,no,yes,no,telephone,no
female,41,technician,single,high.school,no,yes,no,telephone,no
male,37,admin.,married,high.school,no,yes,no,telephone,no
male,35,technician,married,university.degree,no,no,yes,telephone,no
male,59,technician,married,unknown,no,yes,no,telephone,no
female,39,self-employed,married,basic.9y,yes,no,no,telephone,no
female,54,technician,single,university.degree,yes,no,no,telephone,no
female,55,unknown,married,university.degree,yes,yes,yes,telephone,no
male,46,admin.,married,unknown,no,no,no,telephone,no
female,59,technician,married,unknown,no,yes,no,telephone,no
female,49,blue-collar,married,unknown,no,no,no,telephone,no
female,54,management,married,basic.4y,yes,yes,no,telephone,no
female,54,blue-collar,divorced,basic.4y,no,no,no,telephone,no
female,55,unknown,married,basic.4y,yes,yes,no,telephone,no
female,34,services,married,high.school,no,no,no,telephone,no
